C:\Python27\python.exe F:/hhly/scrapy/law/law_rule/wenshu_law/test.py
最高人民法院、最高人民检察院关于办理知识产权刑事案件具体应用法律若干问题的解释（二） >>>>>>>>>>> 5
本院认为，被告人周某某违反国家毒品管理法规，贩卖少量毒品甲基苯丙胺，其行为构成贩卖毒品罪。宁乡县人民检察院对被告人周某某的指控成立，本院予以支持。被告人周某某因贩卖毒品罪被判过刑，又犯贩卖毒品罪，系毒品再犯，从重处罚。被告人周某某在暂予监外执行期间又犯新罪，应当把前罪没有执行完毕的刑罚和后罪所判处的刑罚数罪并罚。被告人周某某归案后能如实供述自己的犯罪事实，依法可以从轻处罚。据此，依照中华人民共和国刑法 >>>>>>>>>>> 5
中华人民共和国刑法议适当，应予以支持。鉴于被告人石某某归案后如实供述自己 >>>>>>>>>>> 5
最高人民法院关于刑事裁判涉财产部分执行的若干规定 >>>>>>>>>>> 5
关于我省盗窃罪具体数额执行标准的通知 >>>>>>>>>>> 5
最高人民法院、最高人民检察院关于办理与盗窃、抢劫、抢夺机动车相关刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 5
关于处理立功和自首具体应用法律若干问题的解释 >>>>>>>>>>> 5
中华人民共和国支付 >>>>>>>>>>> 5
中华人民共和国共和国 >>>>>>>>>>> 5
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第九十三条第二款解释 >>>>>>>>>>> 5
应实行数罪并罚。被告人毛玉霞归案后如实供述自己的犯罪事实，具有坦白情节，可依法从轻处罚。被告人毛玉霞系吸毒人员，以贩养吸，所查处的毒品数量，应酌情考虑其吸食部份。被告人所犯数罪中判处有期徒刑和拘役的，执行有期徒刑。公诉机关的量刑建议欠妥，本院不予采纳。根据被告人毛玉霞在本案中的犯罪事实、情节、性质以及社会危害程度，依照中华人民共和国刑法 >>>>>>>>>>> 5
中华人民共和国刑法刑罚，在刑罚执行完毕五年内再犯应当判处有期徒刑以上刑罚之罪，系累犯，应当从重处 >>>>>>>>>>> 5
本院认为：被告人马祖伟以非法占有为目的，与他人密谋，采取虚构事实，隐瞒真相的方法，骗取被害人纪某现金10万元，数额巨大，其行为已触犯刑法，构成诈骗罪。公诉机关指控成立，应予支持。对被告人马祖伟有前科以及其在刑罚执行完毕以后的五年以内再犯应当判处有期徒刑以上刑罚，是累犯的情节，应从重处罚。对被告人马祖伟犯罪后其家人代为退赔10万元钱款的情节，可酌情对其从轻处罚，对其辩护人相应的辩护意见予以采纳，对其他的辩护意见及所举的证据，因与本案查明的事实不符，故不予采纳。对被告人庭审中辩解“自己取钱的时不知道所取的钱是被骗来的。自己没有刻意伪装，戴假发是因为自己的头发掉了”的意见，因与本案查证的事实不符，故亦不予采纳。依照﹤中华人民共和国刑法 >>>>>>>>>>> 5
本院认为，被告人李某某违反道路交通管理法规，醉酒后驾驶机动车辆，危害公共安全，其行为已构成危险驾驶罪。公诉机关指控被告人李某某犯罪事实清楚，证据确实、充分，指控罪名成立，依法应予以惩处。被告人李某某在公安机关侦查阶段，如实供述犯罪事实，属坦白，予以从轻处罚。为打击刑事犯罪，维护公共安全，依照中华人民共和国刑法 >>>>>>>>>>> 5
最高人民法院〈关于在执行附加刑剥夺政治权利期间犯新罪应如何处理的批复〉 >>>>>>>>>>> 5
最高人民法院、最高人民检察院关于办理生产、销售伪劣产品刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 5
﹤ahref=”javascript：slc（17010，0）”﹥中华人民共和国刑法﹤／a﹥ >>>>>>>>>>> 5
关于适用＜中华人民共和国刑事诉法＞若干问题的解释 >>>>>>>>>>> 5
关于办理妨害文物管理等刑事案件适用法律若干问题的解释 >>>>>>>>>>> 5
全国人民代表大会常务委员会关于第三百一十三条的解释 >>>>>>>>>>> 5
本院认为，被告人卢国香无视国家法律，多次结伙盗窃他人财物，数额较大，其行为已构成盗窃罪，应依法惩处。被告人卢国香在有期徒刑刑罚执行完毕之后，五年以内再犯应当被判处有期徒刑以上刑罚之罪，是累犯，依法应当从重处罚。被告人卢国香归案后能如实供述其罪行，认罪态度较好，依法可从轻处罚。公诉机关指控被告人卢国香犯盗窃罪的事实清楚，证据确实、充分，罪名成立，本院予以支持。对被告人卢国香请求从轻处罚的意见，本院予以采纳。依照中华人民共和国刑法 >>>>>>>>>>> 5
关于适用<中华人民共和国刑事诉讼法> >>>>>>>>>>> 5
全国人大常委会关于严惩拐卖、绑架妇女、儿童的犯罪分子的决定 >>>>>>>>>>> 5
本院认为，被告人黄某乙、黄某丙、黄某丁结伙肆意挑衅，持枪随意射击，任意损毁他人财物，情节严重，其行为均已触犯了刑律，构成寻衅滋事罪，依法应受刑事处罚。公诉机关指控被告人黄某乙、黄某丙、黄某丁犯寻衅滋事罪罪名成立。在共同犯罪中，三被告人均积极实施了犯罪行为，起主要作用，均是主犯，依法应当按照三被告人所参与的全部犯罪处罚；但被告人黄某乙接到黄某丙通知后，还积极纠集其他人参与本案，作用相对稍大，三人在量刑时应所有区别。三被告人到案后均能如实供述犯罪事实，认罪态度较好，依法可从轻处罚。三辩护人提出三被告人是从犯的辩护意见与事实不符，不予采纳。到案证据可以证明，本案三被告人是因同案犯黄艺宏在同和镇妙客村满村屯被致伤要求赔偿未果而在满村屯滋事，其他同伙在往满村屯途中的另一地点用枪打伤附带民事诉讼原告人江某甲，该行为超出了本案三被告人共同的犯意，不应认定为本案三被告人的共同犯罪行为，故三被告人对江某甲受伤的后果不应负担刑事及民事赔偿责任。对辩护人覃振庆提出被告人的同伙在同和镇妙客桥头打烂客车玻璃、在同和镇古某屯打伤江某甲的后果不应由本案被告人负责的辩护意见及附带民事诉讼代理人陆栩婷、黄炎阳提出不应由本案被告人对江某甲的损失承担民事赔偿责任的代理意见，本院予以采纳。对三辩护人提出三被告人认罪态度好，请求从轻处罚的辩护意见，予以采纳。依照中华人民共和国刑法 >>>>>>>>>>> 5
最高人民法院、最高人民检察院关于办理伪造、贩卖伪造的高等院校学历、学位证明刑事案件如何适用法律问题的解释 >>>>>>>>>>> 5
本院认为，被告人曹某以非法占有为目的，公然夺取他人数额较大财物，其行为已构成抢夺罪。公诉机关指控成立。被告人曹某曾因犯抢夺罪被判处有期徒刑，刑罚执行完毕以后，在五年以内再犯应当判处有期徒刑以上刑罚之罪的，是累犯，应当从重处罚。被告人曹某虽不具有自首情节，但如实供述自己的罪行，可以从轻处罚。被告人曹某抢夺的部分赃物已被收缴发还被害人，在量刑时可以酌情考虑。根据被告人曹某的犯罪事实、性质、情节及对社会的危害程度，中华人民共和国刑法 >>>>>>>>>>> 5
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第三百八十四条第一款的解释 >>>>>>>>>>> 5
已达醉酒标准。同日，被告人周某某明知他人报警后仍留在现场等待民警前来处置，到案后如实供述上述事实。以上事实，被告人周某某在开庭审理过程中亦无异议，并有证人卫某某的证言、机动车驾驶证信息、车辆详细信息、司法鉴定科学技术研究所司法鉴定中心的检验报告书、道路交通事故认定书、事故物损照片、验伤通知书及公安机关出具的查获经过、常住人口基本信息等证据证实，足以认定。本院认为，被告人周某某在道路上醉酒驾驶机动车，其行为已构成危险驾驶罪。公诉机关的指控成立，本院予以支持。被告人周某某有自首情节，依法从轻处罚。依照中华人民共和国刑法 >>>>>>>>>>> 5
传销犯罪意见 >>>>>>>>>>> 5
全国人民大会常务委员会关于﹤中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 5
最高人民法院的解释 >>>>>>>>>>> 5
中华人民共和国型法 >>>>>>>>>>> 5
最高人民法院、最高人民检察院关于办理敲诈勒索罪刑事案件适用法律若干问题的解释 >>>>>>>>>>> 5
最高人民法院、最高人民检察院关于执行﹤全国人民代表大会常务委员会关于严禁卖淫嫖娼的决定﹥的若干问题的解答 >>>>>>>>>>> 5
关于审理骗取出口退税刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 5
最高人民法院、最高人民检察院关于办理寻衅事刑事案件适用法律若干问题的解释 >>>>>>>>>>> 5
四川省高级人民法院关于刑法部分条款数额执行标准和情节认定标准的意见 >>>>>>>>>>> 5
本院认为，被告人殷某甲故意毁坏他人财物，数额较大，其行为已构成故意毁坏财物罪。香河县人民检察院对殷某甲构成故意毁坏财物罪的指控事实清楚，证据确实充分，指控成立，适用法律正确，本院予以支持。本案系家庭纠纷引起，殷某甲到案后能够如实供述自己的犯罪事实，当庭自愿认罪，且已取得二被害人的谅解，故本院依法对其予以从轻处罚。殷某甲的辩护人提出的本案系家庭纠纷引起，社会危害性较小，殷某甲能够积极认罪，无前科，且已赔偿被害人的损失，取得了被害人谅解的辩护意见，经庭审查证属实，本院予以采纳。殷某甲及其辩护人提出对殷某甲从轻处罚适用缓刑的量刑请求，本院予以采纳。综上，本院根据被告人殷某甲犯罪的事实、犯罪的性质、情节、悔罪表现和对社会的危害程度，依据中华人民共和国刑法 >>>>>>>>>>> 5
本院认为，被告人谢立新违反国家毒品管理法规，贩卖少量毒品甲基苯丙胺，其行为构成贩卖毒品罪。宁乡县人民检察院对被告人谢立新的指控成立，本院予以支持。被告人谢立新因贩卖毒品罪被判过刑，又犯贩卖毒品罪，系毒品再犯，从重处罚。被告人谢立新在暂予监外执行期间又犯新罪，应当把前罪没有执行的刑罚和后罪所判处的刑罚数罪并罚。被告人谢立新归案后能如实供述自己的犯罪事实，依法可以从轻处罚。据此，依照中华人民共和国刑法 >>>>>>>>>>> 5
关于审理交通事故损害赔偿案件若干问题的指导意见（试行） >>>>>>>>>>> 5
最高人民法院关于审理道路交通损害赔偿案件适用若干问题的解释 >>>>>>>>>>> 5
关于办理侵犯知识产权刑事案件应用法律若干问题的解释 >>>>>>>>>>> 5
城市出租汽车管理办法 >>>>>>>>>>> 5
最高人民法院关于适用<全国人民代表大会常务委员会关于惩治虚开、伪造和非法出售增值专用发票犯罪的决定>的若干问题的解释 >>>>>>>>>>> 5
关于进一步加强麻黄草管理严厉打击非法买卖麻黄草等违法犯罪活动的通知 >>>>>>>>>>> 5
关于审理非法出版物等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 5
关于审理非法制造、买卖、运输枪支、弹药刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 5
浙江省实施〈中华人民共和国道路交通安全法〉办法 >>>>>>>>>>> 5
中华人民共和国刑律 >>>>>>>>>>> 5
最高人民法院、 >>>>>>>>>>> 5
本院认为，被告人栗松违背妇女意志强行与被害人张某发生性关系，且在对被害人张某实施强奸之前，利用早上喊张某起床之机，强行对张某实施猥亵，其行为已分别构成强奸罪和强制猥亵罪，公诉机关指控被告人栗松犯强奸罪、强制猥亵罪的事实清楚、证据确实充分，指控罪名成立，应予支持。被告人栗松一人犯数罪，应当实行并罚。被告人栗松在与被害人母亲长期保持不正当男女关系，随便出入被害人住所、曾某被害人的特殊情况下，违背社会伦理道德，奸淫未成年被害人张某，致使案发后被害人母亲在被害人正在高中上学的情形下带其外出未归，依法应当从重处罚，对被害人要求对被告人从严惩处的意见予以采纳。被告人栗松归案后如实供述了其犯罪事实，对强奸罪当庭认罪，本院结合被告人的犯罪性质综合予以考虑；被告人栗松是在被害人反抗的情况下对被害人实施的奸淫行为，对被告人的辩护人认为被告人没有使用暴力，不具有很大的社会危害性的辩护意见不予采纳。根据被告人的犯罪事实、犯罪情节和社会危害程度，依照中华人民共和国刑法 >>>>>>>>>>> 5
中国人民共和国矿产资源法 >>>>>>>>>>> 5
本院认为，被告人王某、李某、寿某、张某甲、周某甲、周某乙、章某以营利为目的，聚众赌博，其行为已构成赌博罪，部分系共同犯罪，依法应追究刑事责任。公诉机关指控罪名成立，本院予以支持。被告人王某、张某甲、周某甲、周某乙有行政处罚前科，被告人李某有刑事处罚前科，被告人寿某有刑事、行政处罚前科，本院均酌情予以从重处罚。鉴于七被告人已退缴非法所得，被告人张某甲犯罪后能自首、被告人寿某具有立功情节，以及被告人李某、寿某、周某甲、周某乙、章某案发后均能如实供述自己的罪行，本院予以从轻处罚。根据被告人张某甲、周某甲、周某乙、章某的犯罪事实、情节及悔罪表现，本院对其适用缓刑。辩护人提出对被告人王某、李某从轻处罚的辩护意见本院酌情予以采纳。辩护人提出被告人王某构成自首的辩护意见不予采纳，要求适用缓刑本院不予准许。依照中华人民共和国刑法 >>>>>>>>>>> 5
中华人民共和国债权责任法 >>>>>>>>>>> 5
关于办理生产、销售伪劣产品刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 5
关于适用〈中华人民共和国侵权责任法〉若干问题的通知 >>>>>>>>>>> 5
2015内蒙古自治区道路交通事故损害赔偿项目和计算办法 >>>>>>>>>>> 5
最高人民法院、最高人民检察院、公安部、国家安全监管总局关于依法加强对涉嫌犯罪的非法生产经营烟花爆竹行为刑事责任追究的通知 >>>>>>>>>>> 5
本院认为，被告人刘某某伪造企业印章，其行为已构成伪造企业印章罪。公诉机关指控犯罪事实清楚，证据确实、充分。被告人刘某某如实供述自己的罪行，可以从轻处罚。依照中华人民共和国刑法 >>>>>>>>>>> 5
最高人民法院关于适用财产型若干问题的规定 >>>>>>>>>>> 5
最高人民法院关于适用中华人民共和国民事诉讼法若干问题的意见 >>>>>>>>>>> 5
最高人民法院关于﹤中华人民共和国刑法修正案（八）时间效力问题的解释﹥ >>>>>>>>>>> 5
关于办理污染环境刑事案件适用法律若干问题的解释 >>>>>>>>>>> 5
全国人民代表大会常务委员会关于（中华人民共和国刑法）第九十三条第二款的解释 >>>>>>>>>>> 5
全国人民代表大会常务委员会关于中华人民共和国刑法第三百一十三条的解释 >>>>>>>>>>> 4
本院认为，被告人刘某某以非法占有为目的，扒窃他人财物，其行为已构成了盗窃罪。公诉机关指控被告人刘某某犯盗窃罪的事实清楚，证据确实、充分，罪名成立，本院予以确认。被告人刘某某认罪态度好，将赃物退还给被害人，并赔偿了被害人的损失，取得了被害人的谅解，侦查机关已对其取保候审，其居住地社区矫正机构亦建议对其实行社区矫正，故对被告人刘某某可酌情从轻处罚并适用缓刑。据此，依照中华人民共和国刑法 >>>>>>>>>>> 4
中华人民共和国刑发 >>>>>>>>>>> 4
关于办理“醉驾”案件的会议纪要 >>>>>>>>>>> 4
生猪定点屠宰厂（场）病害猪无害化处理管理办法 >>>>>>>>>>> 4
最高人民法院、最高人民检察院关于办理非法生产、销售、使用禁止在饲料和动物饮水中使用的药品等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 4
最高人民法院＜关于人民法院民事执行中查封、扣押、冻结财产的规定＞ >>>>>>>>>>> 4
商标法 >>>>>>>>>>> 4
最高人民法院、最高人民检察院、公安部、司法部〈关于依法惩治性侵害未成年人犯罪的意见〉 >>>>>>>>>>> 4
最高人民法院关于审理抢劫、抢夺案件具体适用法律的若干问题的意见 >>>>>>>>>>> 4
河北省2014年度 >>>>>>>>>>> 4
全国人民代表大会常委委员会关于﹤中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 4
上海市浦东新区人民检察院指控：2016年2月19日10时06分许，被告人朱某某驾驶牌号为皖KSXXXX轻型厢式货车，沿上海市浦东新区东高路南侧机动车道由西向东行驶至杨高北路路口遇绿灯左转弯时，因疏于观察而未确保行车安全，造成轻型厢式货车正面左部与沿杨高北路东侧非机动车道北向南逆向行驶至路口下车后，遇绿灯再骑车由东向西通过路口的自行车左侧相撞，致使骑自行车的被害人赵寿福被撞倒在地，致赵颅脑损伤而死亡，直接物损价值人民币588元。经上海市公安局浦东分局认定，被告人朱某某承担本起道路交通事故全部责任，被害人赵寿福不承担事故责任。事故发生后，被告人朱某某明知他人报警的情况下，留在事故现场等候民警处警，到案后如实供述了上述事实。以上事实，被告人朱某某在开庭审理过程中亦无异议，并有证人杨某某、王某某、赵某某的证言、监控录像、视频资料调阅说明、公安机关道路交通事故现场勘查笔录、现场图、立面图及现场照片、道路交通事故认定书、验伤通知书、居民死亡医学证明书、道路交通事故尸体处理通知书、遗体火化证明、司法鉴定科学技术研究所司法鉴定中心司法鉴定意见书、司法鉴定检验报告书、酒精呼气测试记录单、上海道路交通事故物损评估中心物损评估意见书、相关机动车驾驶证、驾驶人信息、机动车行驶证、车辆详细信息、接警报案记录、案发经过、相关收条、谅解书及常住人口基本信息等证据证实，足以认定。本院认为，被告人朱某某违反交通运输管理法规，因而发生交通事故，致一人死亡，负事故全部责任，其行为已构成交通肇事罪。公诉机关的指控成立，本院予以支持。被告人朱某某有自首情节，依法从轻处罚；案发后，被告人一方对被害人一方进行了经济赔偿，并取得了谅解，对被告人朱某某再酌情从轻处罚。依照中华人民共和国刑法 >>>>>>>>>>> 4
关于依法办理非法生产销售使用“伪基站”设备案件的意见 >>>>>>>>>>> 4
本院认为：商城县人民检察院指控的被告人王某某犯寻衅滋事罪，事实清楚，证据确实、充分，所指控罪名成立。被告人王某某醉酒后进入施工工人宿舍，随意殴打他人，情节恶劣，其行为已构成寻衅滋事罪。被告人归案后，能如实供述自己的犯罪事实，依法可从轻处罚；被告人积极赔偿被告人经济损失，并取得了谅解，可酌情从轻处罚。鉴于被告人系初犯，犯罪的主观恶性不大，对其可适用缓刑。依照中华人民共和国刑法 >>>>>>>>>>> 4
中华人民共和国文物法 >>>>>>>>>>> 4
最高人民法院关于对为索取法律不予保护的债务，非法拘禁他人行为如何定罪问题的解释 >>>>>>>>>>> 4
最高人民法院最高人民检察院关于办理生产、销售假药、劣药刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 4
合同法 >>>>>>>>>>> 4
最高人民法院最高人民检察院关于办理盗窃刑事案适用法律若干问题的解释 >>>>>>>>>>> 4
最高人民法院关于审理道路交通事故害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 4
本院认为，被告人娄小分违反交通运输管理法规，驾驶超过核定载质量且超速行驶的机动车行经交叉路口时，未让右方道路来车先行，因而发生重大事故，造成四人死亡的后果，且负事故的主要责任，其行为已构成交通肇事罪。被告人交通肇事致四人死亡，属”有其他特别恶劣情节”，依法应在三年以上七年以下处刑。原阳县人民检察院指控被告人娄小分犯交通肇事罪的事实清楚，证据确实、充分，适用法律正确，本院依法予以支持。被告人娄小分到案后如实供述自己的犯罪事实，属坦白，依法可以从轻处罚。因被告人娄小分的犯罪行为给各附带民事诉讼原告人造成的损失，被告人娄小分应依法承担民事赔偿责任。被告人娄小分驾驶超过核定载质量且超速行驶的机动车行经交叉路口时，未让右方道路来车先行，其违法行为是导致事故发生的主要原因，应负事故的主要责任，依法应承担70%的民事赔偿责任；贺某丁驾驶载人超过核定人数且超速行驶的机动车未按照操作规范安全驾驶，其违法行为是导致事故发生的次要原因，应负事故的次要责任，依法应承担30%的民事赔偿责任。又因娄小分驾驶的豫G55267五征牌低速普通货车在附带民事诉讼被告信达保险公司处投保有交强险，对上述各附带民事诉讼原告人的损失，应先在交强险赔偿范围内按照比例划分赔偿责任，不足部分由被告娄小分、贺某丁按照事故责任比例承担责任。关于本案各附带民事诉讼原告人损失的认定。根据河南省统计局公布的2013年度农村居民人均纯收入8475.34元／年、农村居民人均消费性支出5627.73元、河南省城镇单位在岗职工年平均工资37958元／年，居民服务业和其他服务业年收入29041元／年的数据计算，各原告人的下列损失应当予以认定：1、原告陈某某的合理损失有：医疗费41504.95元、护理费2625.62元（按照2013年居民服务业和其他服务业年收入29041元／年，计算33天）、住院伙食补助费495元（每天计算15元，计算33天），以上共计44625.57元。2、原告贺某甲等人的合理损失有：邓某甲死亡赔偿金169506.8元（按照农村居民人均纯收入8475.34元／年，计算20年）、丧葬费18979元（按照在岗职工年平均工资37958元／年计算6个月）、停尸费1050元、运尸费1500元、尸体美容费1400元、被扶养人生活费35454.7元（贺某乙计算10年、贺某丙计算1年、邓某乙计算5年）、交通费酌定为500元；贺某乙医疗费4584.42元、护理费97.82元（按照2013年居民服务业和其他服务业年收入29041元／年，计算5天）、住院伙食补助费75元（15元／天&times;5天）、交通费酌定为100元，以上共计233247.74元。3、原告贺某丁的合理损失有：原告贺某丁医疗费31589.85元、误工费394.74元（按照2013年度农村居民人均纯收入8475.34元／年，计算17天）、护理费1352.59元（按照2013年居民服务业和其他服务业年收入29041元／年，计算17天）、住院伙食补助费255元（15元／天&times;17天）、交通费200元；刘某甲损失：死亡赔偿金169506.80元、丧葬费18979元；贺某戊：死亡赔偿金169506.8元、丧葬费18979元；以上共计410763.78元。4、原告刘某乙的合理损失有：张某乙死亡赔偿金169506.8元、丧葬费18979元、医疗费2995.5元、停尸运尸费3000元、交通费酌定为500元；刘某乙医疗费42375.08元、鉴定费800元、误工费1114.57元（按照2013年度农村居民人均纯收入8475.34元／年，计算至定残前一天，计算48天）、护理费1670.85（按照2013年居民服务业和其他服务业年收入29041元／年，计算21天）、住院伙食补助费315元（15元／天&times;21天）、营养费315元、残疾赔偿金16950.68元（8475.34元／年&times;20年&times;10%）、交通费酌定为500元，以上共计259022.48元。对于上述附带民事诉讼原告人的死亡赔偿金、残疾赔偿金、医疗费损失，应由附带民事诉讼被告信达保险公司在交强险死亡伤残赔偿限额内及医疗费限额内按各方损失比例承担赔偿责任。对于各附带民事诉讼原告人的不足部分，由被告人娄小分承担主要责任，即70%的赔偿责任；由贺某丁承担次要责任，即30%的赔偿责任。附带民事诉讼原告人对上述合理损失外的诉讼请求，没有事实和法律依据，本院不予支持。对于各附带民事诉讼原告人关于精神抚慰金的诉讼请求，不属刑事诉讼受案范围，本院不予支持。依照中华人民共和国刑法 >>>>>>>>>>> 4
本院认为，被告人周利持枪以对其前女友黄某甲实施伤害相威胁留下银行账号勒索黄某甲的姐夫耿某某、母亲张某甲的钱财，且数额较大，其行为符合以非法占有为目的，敲诈勒索他人财物的敲诈勒索罪的犯罪构成，已构成敲诈勒索罪。应予惩处，公诉机关指控的罪名成立。被告人周利因意志以外的原因未得逞，系犯罪未遂，可以比照既遂犯从轻或者减轻处罚。因被告人与李某某确有债权、债务关系，且李某某两次给付被告人的钱款数额未超过应偿还欠款数额。故认定被告人周利对李某某给付的钱款有非法占有故意的证据并不充分，公诉机关指控的对李某某的两起犯罪，不能成立。被告人有犯罪前科，可酌情从重处罚。被告人认罪、悔罪可酌情从轻处罚。被告人周利的辩护人关于被告人不构成抢劫罪的辩护意见，本院予以采纳。依照中华人民共和国刑法 >>>>>>>>>>> 4
最高人民法院、最高人民检察院关于办理危害矿山安全刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 4
本院认为，被告人刘某某作为十堰市某工贸有限公司的工作人员，利用职务上的便利，挪用本单位资金189100元，数额较大，且没有全部退还，其行为构成挪用资金罪，公诉机关指控的罪名成立。关于被告人刘某某的辩护人提出刘某某向其所在单位投案，应当视为自动投案的辩解，经查，被告人刘某某虽然主动向所在公司说明情况并作出还款承诺，但其未按还款承诺履行，为躲避处理，在没有通知公司的情况下，偷偷离开十堰，并更换手机，致使公安机关对其网上追逃，其行为不构成自首；关于被告人刘某某及其辩护人提出起诉书指控的189100元应当扣减某公司欠刘某某的补贴85275元的辩解，经查，根据被告人的供述与其出具的承诺，及某公司的财物凭证均相互印证被告人挪用公司资金189100元，其辩解无证据证实，且属另一法律关系，本院不予采纳。关于被告人刘某某及其的辩护人提出刘某某挪用资金是因为酒后被骗，用于还高利贷，并非进行非法活动的辩护意见。经查，公诉机关指控被告人刘某某挪用资金用于赌博仅有其供述，无其他证据证实，该辩解予以采纳。被告人刘某某到案后能如实供述自己的罪行，有悔罪表现，依法可以从轻处罚。被告人刘某某的亲属积极退赔挪用的受害单位部分资金，取得受害人的谅解，可酌情从轻处罚。根据被告人刘某某的犯罪情节及其悔罪表现，对其适用缓刑不致再危害社会，可宣告缓刑。依据（中华人民共和国刑法 >>>>>>>>>>> 4
国务院关于加强国有土地资产管理的通知 >>>>>>>>>>> 4
本院认为，被告人马轲违反国家对毒品的管理制度，非法贩卖毒品海洛因，其行为已构成贩卖毒品罪，依法应受到刑事处罚。被告人马轲多次向多人贩卖毒品海洛因，情节严重，依法应在三年以上、七年以下有期徒刑幅度内量刑，被告人马轲系毒品再犯，依法应当从重处罚。考虑到被告人马轲如实供述自己的犯罪事实，故依法予以从轻处罚。被告人马轲供述先后贩卖海洛因共计10克以上20克以下，仅有被告人供述，无其它证据证明，故公诉机关仅以贩毒海洛因次数和人数指控，未以数量指控，本院予以认同。为打击犯罪，维护国家对毒品的管理制度，依照中华人民共和国刑法 >>>>>>>>>>> 4
最高人民法院、最高人民检察院、公安部适用法律若干问题的意见 >>>>>>>>>>> 4
最高人民法院关于审理走私刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 4
天津市道路交通安全管理若干规定 >>>>>>>>>>> 4
全国人大常委会关于刑法第三百一十三条的解释 >>>>>>>>>>> 4
中华人民共和国担保法 >>>>>>>>>>> 4
票据法 >>>>>>>>>>> 4
四川省高级人民法院四川省人民检察院四川省公安厅关于我省盗窃数额执行标准的通知 >>>>>>>>>>> 4
